"name","address1_composite","address2_composite","telephone1","websiteurl","chc_256characterstatement","sl_federalein","chc_ntee1","chc_ntee2","chc_ntee3"
"Alzheimer's Tennessee, Inc., Nashville","4235 Hillsboro Pike Ste 300
Nashville, TN 37215
USA","5801 Kingston Pike
Knoxville, TN 37919
USA","865-544-6288","http://www.alzTennessee.org","To Serve those facing Alzheimer's disease and related dementias, to promote brain health through education, and to champion global research, prevention, and treatment efforts.","621206312","G  Disease, Disorders, Medical Disciplines","H  Medical Research","P  Human Services"
"American Cancer Society, California, West Region, San Francisco Market","1001 Marina Village Pky Ste 300
Alameda, CA 94501
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","510-893-7900","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, California, West Region, Los Angeles Market","100 Corporate Pointe Ste 350
Culver City, CA 90230
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","310-348-0357","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, California, West Region, Sacramento Market","1545 River Park Dr Ste 428
Sacramento, CA 95815
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","916-561-2900","https://www.cancer.org/","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, California, West Region, San Jose Market","747 Camden Ave Ste B
Campbell, CA 95008
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","408-688-0114","https://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Adopt America Network","3100 W Central Ave Ste 225
Toledo, OH 43606
USA",,"419-726-5100","https://www.adoptamericanetwork.org","Finds permanent adoptive homes for abused and  neglected children with special needs in US foster care (without charging fees) using national network of trained workers.","341396924","P  Human Services","L  Housing, Shelter","O  Youth Development"
"American Council of the Blind","225 Reinekers Ln Ste 660
Alexandria, VA 22314
USA",,"612-332-3242","https://www.acb.org","Our mission is to increase the independence, security, equality of opportunity, and quality of life for all blind and visually impaired people.","580914436","P  Human Services","R  Civil Rights, Social Action, Advocacy","Y  Mutual/Membership Benefit Organizations, Other"
"Children's Cancer Assistance Fund","2900 Frank Scott Pkwy W Ste 928
Belleville, IL 62223
USA",,"314-241-1600","http://www.thenccs.org","Childhood cancer can be devastating for any family. With our help, no family has to endure the costs and heartache of pediatric cancer alone.","371227890","P  Human Services","Z  Unknown","Z  Unknown"
"Christian Military Fellowship","PO Box 449
Veradale, WA 99037
USA",,"303-761-1959","http://www.cmfhq.org","Ministering to America's military and their families worldwide empowering them in their Christian faith, advancing Bible studies, linkups, mentoring, fellowship, resources, personal contact and encouragement.","840780545","X  Religion, Spiritual Development","B  Educational Institutions","P  Human Services"
"Christian Relief Fund","1501 SW 58th Ave
Amarillo, TX 79110
USA","PO Box 19670
Amarillo, TX 79114
USA","806-352-5030","https://crf.com","Christian Relief Fund strives to empower orphans and vulnerable children to break the cycle of poverty through Child Sponsorship and Clean Water Projects.","510183054","P  Human Services","K  Agriculture, Food, Nutrition","O  Youth Development"
