"title","address","phone","website"
"Anniston Army Depot","7 Frankford Ave.Building 7Anniston, AL 36201-4199","256-235-7170","https://www.anad.army.mil/"
"Fort Novosel","Novosel StreetBuilding 5700Fort Novosel, AL 36362","334-255-1110334-255-0797334-255-0434View the DOD DSN number312-558-3161View the DOD DSN FAX number312-558-0434","http://www.novosel.army.mil/imcom/"
"Maxwell AFB and Gunter Annex","Military and Family Readiness Center55 S. Mitchell Bldg 67742 FSS/FSHMaxwell AFB, AL 36112","334-953-2353","http://www.maxwell.af.mil/"
"Redstone Arsenal","3443 Aerobee RoadRedstone Arsenal, AL 35898","256-876-5397256-955-9171View the DOD DSN number312-746-5397View the DOD DSN FAX number312-645-9171",
"USAREC, 2nd Medical Recruiting Battalion","3435 Snooper Road2nd MRBnRedstone Arsenal, AL 35898","256-450-9600256-450-9610","http://www.usarec.army.mil/mrb/9bbn/"
"USAREC, Montgomery Battalion","551 Maxwell Blvd.Building 500 1510Maxwell AFB, AL 36112","334-551-3211334-953-3361","http://www.usarec.army.mil/2ndbde/3hbn/"
"117 ARW","5401 East Lake Blvd - Bldg. 151Birmingham, AL 35242","205-714-2855","https://www.117arw.ang.af.mil/"
"Fort Huachuca","50010 Smith StreetFort Huachuca, AZ 85613-7011","520-533-5919520-533-2330520-533-3778","https://huachuca.armymwr.com/"
"Luke AFB","14185 West Falcon StreetLuke AFB, AZ 85309","623-856-6011623-856-2067View the DOD DSN number312-896-6550View the DOD DSN FAX number312-896-2067","http://www.luke.af.mil/"
"MCAS Yuma","Ave 3E Main GateYuma, AZ 85365","928-269-2252",
"USAREC, Phoenix Battalion","4000 N Central AveSuite 2100Phoenix, AZ 85012","602-254-1738602-462-9109","http://www.usarec.army.mil/5thbde/4pbn/"
"Yuma Proving Ground","301 C. StreetYuma, AZ 85365-9498","928-328-2513312-899-2513","https://home.army.mil/yuma/"
"161 ARW","3200 E Old Tower RoadPhoenix, AZ 85034-7263","602-302-9502","https://www.161arw.ang.af.mil/"
"162 Wing","1650 E Perimeter WayTucson, AZ 85706","520-295-6371","https://www.162wing.ang.af.mil/"
"Little Rock AFB","1500 Vandenberg BlvdLittle Rock AFB, AR 72099-5288","501-987-1110View the DOD DSN number312-731-1110","http://www.littlerock.af.mil/"
